primary,oxydb_mac_2012,number,mds_ies_db_2015
Contig9254.0,Contig9254.0,9254.0,OXYTRI_MAC_9254
Contig9255.0.1,Contig9255.0.1,9255.0.1,OXYTRI_MAC_9255
Contig9256.0,Contig9256.0,9256.0,OXYTRI_MAC_9256
Contig9257.0,Contig9257.0,9257.0,OXYTRI_MAC_9257
Contig9251.0,Contig9251.0,9251.0,OXYTRI_MAC_9251
Contig9252.0,Contig9252.0,9252.0,OXYTRI_MAC_9252
Contig9253.0,Contig9253.0,9253.0,OXYTRI_MAC_9253
Contig9258.0,Contig9258.0,9258.0,OXYTRI_MAC_9258
Contig9259.0,Contig9259.0,9259.0,OXYTRI_MAC_9259
Contig16668.0,Contig16668.0,16668.0,OXYTRI_MAC_16668
Contig16669.0,Contig16669.0,16669.0,OXYTRI_MAC_16669
Contig16660.0,Contig16660.0,16660.0,OXYTRI_MAC_16660
Contig16661.0,Contig16661.0,16661.0,OXYTRI_MAC_16661
Contig16662.0,Contig16662.0,16662.0,OXYTRI_MAC_16662
Contig16663.0,Contig16663.0,16663.0,OXYTRI_MAC_16663
Contig16664.0,Contig16664.0,16664.0,OXYTRI_MAC_16664
Contig16665.0,Contig16665.0,16665.0,OXYTRI_MAC_16665
Contig16666.0,Contig16666.0,16666.0,OXYTRI_MAC_16666
Contig16667.0,Contig16667.0,16667.0,OXYTRI_MAC_16667
Contig3649.0,Contig3649.0,3649.0,OXYTRI_MAC_3649
Contig3648.0,Contig3648.0,3648.0,OXYTRI_MAC_3648
Contig8619.0,Contig8619.0,8619.0,OXYTRI_MAC_8619
Contig8618.0,Contig8618.0,8618.0,OXYTRI_MAC_8618
Contig3645.0,Contig3645.0,3645.0,OXYTRI_MAC_3645
Contig3644.0,Contig3644.0,3644.0,OXYTRI_MAC_3644
Contig3647.0,Contig3647.0,3647.0,OXYTRI_MAC_3647
Contig3646.0,Contig3646.0,3646.0,OXYTRI_MAC_3646
Contig3640.0,Contig3640.0,3640.0,OXYTRI_MAC_3640
Contig3643.0,Contig3643.0,3643.0,OXYTRI_MAC_3643
Contig3642.0,Contig3642.0,3642.0,OXYTRI_MAC_3642
Contig5720.0,Contig5720.0,5720.0,OXYTRI_MAC_5720
Contig5721.0,Contig5721.0,5721.0,OXYTRI_MAC_5721
Contig5722.0,Contig5722.0,5722.0,OXYTRI_MAC_5722
Contig5723.0,Contig5723.0,5723.0,OXYTRI_MAC_5723
Contig5724.0,Contig5724.0,5724.0,OXYTRI_MAC_5724
Contig5726.0,Contig5726.0,5726.0,OXYTRI_MAC_5726
Contig5727.0,Contig5727.0,5727.0,OXYTRI_MAC_5727
Contig5728.0.2,Contig5728.0.2,5728.0.2,OXYTRI_MAC_5728
Contig2119.0,Contig2119.0,2119.0,OXYTRI_MAC_2119
Contig4451.0,Contig4451.0,4451.0,OXYTRI_MAC_4451
Contig4450.0,Contig4450.0,4450.0,OXYTRI_MAC_4450
Contig4455.0,Contig4455.0,4455.0,OXYTRI_MAC_4455
Contig4454.0,Contig4454.0,4454.0,OXYTRI_MAC_4454
Contig4457.0,Contig4457.0,4457.0,OXYTRI_MAC_4457
Contig4456.0,Contig4456.0,4456.0,OXYTRI_MAC_4456
Contig4459.0,Contig4459.0,4459.0,
Contig4458.0,Contig4458.0,4458.0,OXYTRI_MAC_4458
Contig22792.0,Contig22792.0,22792.0,OXYTRI_MAC_22792
Contig395.0,Contig395.0,395.0,OXYTRI_MAC_395
Contig396.0,Contig396.0,396.0,OXYTRI_MAC_396
Contig10756.0,Contig10756.0,10756.0,OXYTRI_MAC_10756
