primary,oxydb_mac_gene_2020
g20767,g20767
g5576,g5576
g5577,g5577
g5578,g5578
g5604,g5604
g5605,g5605
g5606,g5606
g42744,g42744
g42745,g42745
g42746,g42746
g3923,g3923
g3929,g3929
g29730,g29730
g1686,g1686
g36953,g36953
g10889,g10889
g21730,g21730
g14829,g14829
g32346,g32346
g32365,g32365
g21939,g21939
g24465,g24465
g36115,g36115
g36116,g36116
g20084,g20084
g20085,g20085
g20075,g20075
g44015,g44015
g29281,g29281
g13915,g13915
g43909,g43909
g4067,g4067
g2239,g2239
g9841,g9841
g20285,g20285
g20288,g20288
g24212,g24212
g22412,g22412
g48038,g48038
g4251,g4251
g22303,g22303
g19837,g19837
g17991,g17991
g20488,g20488
g30414,g30414
g45132,g45132
g45133,g45133
g25278,g25278
g38981,g38981
g28044,g28044
g11474,g11474
g33498,g33498
g33499,g33499
g8892,g8892
g8893,g8893
g16255,g16255
g16256,g16256
g47006,g47006
g38756,g38756
g26689,g26689
g26690,g26690
g25490,g25490
g25491,g25491
g25486,g25486
g25487,g25487
g5639,g5639
